ISIN,coupon,close_price,issue_date,maturity_data,date
CA135087H490,0.02 ,99.71,10/6/2017,3/1/2023,1/16/2023
CA135087H490,0.02 ,99.7,10/6/2017,3/1/2023,1/17/2023
CA135087H490,0.02 ,99.72,10/6/2017,3/1/2023,1/18/2023
CA135087H490,0.02 ,99.73,10/6/2017,3/1/2023,1/19/2023
CA135087H490,0.02 ,99.74,10/6/2017,3/1/2023,1/20/2023
CA135087H490,0.02 ,99.75,10/6/2017,3/1/2023,1/23/2023
CA135087H490,0.02 ,99.76,10/6/2017,3/1/2023,1/24/2023
CA135087H490,0.02 ,99.77,10/6/2017,3/1/2023,1/25/2023
CA135087H490,0.02 ,99.78,10/6/2017,3/1/2023,1/26/2023
CA135087H490,0.02 ,99.79,10/6/2017,3/1/2023,1/27/2023
CA135087A610,0.02 ,98.92,7/30/2012,6/1/2023,1/16/2023
CA135087A610,0.02 ,98.92,7/30/2012,6/1/2023,1/17/2023
CA135087A610,0.02 ,98.94,7/30/2012,6/1/2023,1/18/2023
CA135087A610,0.02 ,98.95,7/30/2012,6/1/2023,1/19/2023
CA135087A610,0.02 ,98.95,7/30/2012,6/1/2023,1/20/2023
CA135087A610,0.02 ,98.96,7/30/2012,6/1/2023,1/23/2023
CA135087A610,0.02 ,98.98,7/30/2012,6/1/2023,1/24/2023
CA135087A610,0.02 ,99,7/30/2012,6/1/2023,1/25/2023
CA135087A610,0.02 ,99,7/30/2012,6/1/2023,1/26/2023
CA135087A610,0.02 ,99,7/30/2012,6/1/2023,1/27/2023
CA135087J546,0.02 ,97.93,10/5/2018,3/1/2024,1/16/2023
CA135087J546,0.02 ,97.87,10/5/2018,3/1/2024,1/17/2023
CA135087J546,0.02 ,97.95,10/5/2018,3/1/2024,1/18/2023
CA135087J546,0.02 ,97.92,10/5/2018,3/1/2024,1/19/2023
CA135087J546,0.02 ,97.87,10/5/2018,3/1/2024,1/20/2023
CA135087J546,0.02 ,97.86,10/5/2018,3/1/2024,1/23/2023
CA135087J546,0.02 ,97.87,10/5/2018,3/1/2024,1/24/2023
CA135087J546,0.02 ,97.92,10/5/2018,3/1/2024,1/25/2023
CA135087J546,0.02 ,97.92,10/5/2018,3/1/2024,1/26/2023
CA135087J546,0.02 ,97.84,10/5/2018,3/1/2024,1/27/2023
CA135087J967,0.02 ,96.48,4/5/2019,9/1/2024,1/16/2023
CA135087J967,0.02 ,96.45,4/5/2019,9/1/2024,1/17/2023
CA135087J967,0.02 ,96.58,4/5/2019,9/1/2024,1/18/2023
CA135087J967,0.02 ,96.5,4/5/2019,9/1/2024,1/19/2023
CA135087J967,0.02 ,96.4,4/5/2019,9/1/2024,1/20/2023
CA135087J967,0.02 ,96.4,4/5/2019,9/1/2024,1/23/2023
CA135087J967,0.02 ,96.39,4/5/2019,9/1/2024,1/24/2023
CA135087J967,0.02 ,96.47,4/5/2019,9/1/2024,1/25/2023
CA135087J967,0.02 ,96.48,4/5/2019,9/1/2024,1/26/2023
CA135087J967,0.02 ,96.29,4/5/2019,9/1/2024,1/27/2023
CA135087K528,0.01 ,95.38,10/11/2019,3/1/2025,1/16/2023
CA135087K528,0.01 ,95.42,10/11/2019,3/1/2025,1/17/2023
CA135087K528,0.01 ,95.61,10/11/2019,3/1/2025,1/18/2023
